Name,Email,Password,Role
Joel Tang,joel@gmail.com,Password123,regular
He Fang,hefang@gmail.com,Password123,regular
Sam Yeang,sam@gmail.com,Password123,regular
Wan Ting,wanting@gmail.com,Password123,regular
Elon Musk,elon@gmail.com,Password123,regular
Mark Zuckerberg,mark@gmail.com,Password123,regular
Jeff Bezos,jeff@gmail.com,Password123,regular
Bill Gates,bill@gmail.com,Password123,regular
Daniel Goh,daniel@gmail.com,Password123,owner
YC,yc@gmail.com,Password123,owner
Ann,ann@gmail.com,Password123,owner
Eason,eason@gmail.com,Password123,owner
Ashley,ashley@gmail.com,Password123,owner
Liana,liana@gmail.com,Password123,owner
Obama,obama@gmail.com,Password123,owner
Donald Trump,donald@gmail.com,Password123,owner
